exchange     symbol               timeframe  start_date_utc            method        
binance      LPT/USDC             1h         2025-07-01T08:00:00.000Z  since_zero    
binance      RVN/USDC             1h         2025-07-01T08:00:00.000Z  since_zero    
binance      LA/USDC              1h         2025-07-09T16:00:00.000Z  since_zero    
binance      XAI/USDC             1h         2025-07-15T08:00:00.000Z  since_zero    
binance      AXS/USDC             1h         2025-07-15T08:00:00.000Z  since_zero    
binance      COMP/USDC            1h         2025-07-15T08:00:00.000Z  since_zero    
binance      ERA/USDC             1h         2025-07-17T15:00:00.000Z  since_zero    
binance      C/USDC               1h         2025-07-18T14:00:00.000Z  since_zero    
binance      GRT/USDC             1h         2025-07-22T08:00:00.000Z  since_zero    
binance      ROSE/USDC            1h         2025-07-22T08:00:00.000Z  since_zero    
binance      CVX/USDC             1h         2025-07-29T08:00:00.000Z  since_zero    
binance      FUN/USDC             1h         2025-07-29T08:00:00.000Z  since_zero    
binance      LISTA/USDC           1h         2025-07-29T08:00:00.000Z  since_zero    
binance      TREE/USDC            1h         2025-07-29T14:00:00.000Z  since_zero    
binance      TOWNS/USDC           1h         2025-08-05T14:00:00.000Z  since_zero    
binance      PROVE/USDC           1h         2025-08-05T17:00:00.000Z  since_zero    
binance      ILV/USDC             1h         2025-08-12T08:00:00.000Z  since_zero    
binance      MAGIC/USDC           1h         2025-08-12T08:00:00.000Z  since_zero    
binance      PLUME/USDC           1h         2025-08-18T15:00:00.000Z  since_zero    
binance      CYBER/USDC           1h         2025-08-19T08:00:00.000Z  since_zero    
binance      MAV/USDC             1h         2025-08-19T08:00:00.000Z  since_zero    
binance      SKL/USDC             1h         2025-08-19T08:00:00.000Z  since_zero    
binance      A2Z/USDC             1h         2025-08-26T08:00:00.000Z  since_zero    
binance      SSV/USDC             1h         2025-08-26T08:00:00.000Z  since_zero    
binance      UMA/USDC             1h         2025-08-26T08:00:00.000Z  since_zero    
binance      DOLO/USDC            1h         2025-08-27T16:00:00.000Z  since_zero    
binance      MITO/USDC            1h         2025-08-29T15:00:00.000Z  since_zero    
binance      WLFI/USDC            1h         2025-09-01T13:00:00.000Z  since_zero    
binance      BFUSD/USDC           1h         2025-09-02T08:00:00.000Z  since_zero    
binance      NMR/USDC             1h         2025-09-02T08:00:00.000Z  since_zero    
binance      QTUM/USDC            1h         2025-09-02T08:00:00.000Z  since_zero    
binance      SOMI/USDC            1h         2025-09-02T14:00:00.000Z  since_zero    
binance      OPEN/USDC            1h         2025-09-08T13:00:00.000Z  since_zero    
binance      USDE/USDC            1h         2025-09-09T12:00:00.000Z  since_zero    
binance      LINEA/USDC           1h         2025-09-10T16:00:00.000Z  since_zero    
binance      HOLO/USDC            1h         2025-09-11T12:00:00.000Z  since_zero    
binance      PUMP/USDC            1h         2025-09-12T06:00:00.000Z  since_zero    
binance      AVNT/USDC            1h         2025-09-15T05:00:00.000Z  since_zero    
binance      ZKC/USDC             1h         2025-09-15T14:00:00.000Z  since_zero    
binance      SKY/USDC             1h         2025-09-17T08:00:00.000Z  since_zero    
binance      BARD/USDC            1h         2025-09-18T11:00:00.000Z  since_zero    
binance      0G/USDC              1h         2025-09-22T10:00:00.000Z  since_zero    
binance      IMX/USDC             1h         2025-09-23T08:00:00.000Z  since_zero    
binance      TWT/USDC             1h         2025-09-23T08:00:00.000Z  since_zero    
binance      HEMI/USDC            1h         2025-09-23T12:00:00.000Z  since_zero    
binance      XPL/USDC             1h         2025-09-25T13:00:00.000Z  since_zero    
binance      MIRA/USDC            1h         2025-09-26T12:00:00.000Z  since_zero    
binance      FF/USDC              1h         2025-09-29T13:00:00.000Z  since_zero    
